title,release_date,popularity,genre_ids,vote_average
Badland Hunters,2024-01-26,1924.206,"[878, 28, 18]",6.713
Sixty Minutes,2024-01-19,1252.532,"[28, 18]",6.881
Wonka,2023-12-06,1127.617,"[35, 10751, 14]",7.196
Madame Web,2024-02-14,1108.735,"[878, 28, 12]",5.48
The Marvels,2023-11-08,1013.855,"[878, 12, 28]",6.285
The Family Plan,2023-12-14,1007.602,"[28, 35]",7.328
Skal - Fight for Survival,2023-11-24,980.086,"[28, 27, 35, 53]",6.12
One More Shot,2024-01-12,963.43,"[28, 53]",6.668
Lift,2024-01-10,929.212,"[28, 35, 80]",6.586
Migration,2023-12-06,794.761,"[16, 28, 12, 35, 10751]",7.6
The Hunger Games: The Ballad of Songbirds & Snakes,2023-11-15,769.463,"[18, 878, 28]",7.203
Wish,2023-11-13,738.649,"[16, 10751, 14, 12]",6.645
Aquaman and the Lost Kingdom,2023-12-20,723.507,"[28, 12, 14]",6.909
The Beekeeper,2024-01-10,723.331,"[28, 53, 18]",7.255
Upgraded,2024-02-07,694.281,"[10749, 35]",7.35
Silent Night,2023-11-30,664.146,"[28, 80, 53]",6.326
Rebel Moon - Part One: A Child of Fire,2023-12-15,651.587,"[878, 18, 28]",6.407
Role Play,2024-01-04,640.235,"[28, 35, 10749]",6.026
Orion and the Dark,2024-02-02,639.619,"[16, 10751, 35, 14]",6.683
Poor Things,2023-12-07,621.231,"[878, 10749, 35]",8.1
The Bricklayer,2023-12-14,590.628,"[28, 53]",6.105
Anyone But You,2023-12-21,558.259,"[35, 10749]",6.923
The Painter,2024-01-05,550.668,"[28, 53]",6.793
Napoleon,2023-11-22,541.899,"[36, 10752, 28, 18]",6.509
Freelance,2023-10-05,521.515,"[28, 35]",6.56
The Tiger's Apprentice,2024-02-02,509.178,"[16, 28, 12, 10751, 14]",7.243
Due Justice,2023-11-24,497.097,"[80, 53, 28]",6.579
Expend4bles,2023-09-15,455.727,"[28, 12, 53]",6.367
Bob Marley: One Love,2024-02-14,441.067,"[10402, 18]",6.7
Robot Dreams,2023-10-20,396.007,"[16, 35, 18, 10751]",7.02
Oppenheimer,2023-07-19,395.573,"[18, 36]",8.118
Mary and Max,2009-02-09,384.033,"[16, 35, 18]",7.849
The Creator,2023-09-27,375.862,"[28, 12, 878]",7.126
Boudica,2023-10-26,368.938,"[28, 10752]",5.854
The Boy and the Heron,2023-07-14,357.078,"[16, 12, 14]",7.452
Muzzle,2023-09-29,344.848,"[28, 80, 18, 53]",6.468
Transformers: Rise of the Beasts,2023-06-06,343.979,"[28, 12, 878]",7.361
Godzilla x Kong: The New Empire,2024-03-27,330.728,"[28, 878, 12]",0.0
The Equalizer 3,2023-08-30,317.024,"[28, 53, 80]",7.401
Dune,2021-09-15,302.488,"[878, 12]",7.786
Retribution,2023-08-23,296.06,"[28, 53, 80]",6.79
Fast X,2023-05-17,294.228,"[28, 80, 53]",7.148
John Wick: Chapter 4,2023-03-22,280.198,"[28, 53, 80]",7.755
Society of the Snow,2023-12-13,288.435,"[18, 36]",8.085
The Farm,2019-04-19,271.715,[27],5.319
57 Seconds,2023-09-29,282.306,"[53, 878, 28]",5.964
Deadpool,2016-02-09,287.758,"[28, 12, 35]",7.608
Meg 2: The Trench,2023-08-02,268.263,"[28, 878, 27]",6.643
Rumble Through the Dark,2023-11-03,276.4,"[53, 28]",6.29
The Flash,2023-06-13,296.501,"[28, 12, 878]",6.787
Nowhere,2023-09-29,288.552,"[53, 18]",7.459
Deadpool 2,2018-05-10,258.851,"[28, 35, 12]",7.488
Knuckle Girl,2023-10-25,278.188,"[28, 18]",6.808
The Animal Kingdom,2023-10-04,261.388,"[878, 12, 18, 9648]",7.197
Godzilla Minus One,2023-11-03,259.138,"[878, 27, 28]",7.871
Deep Fear,2023-10-18,260.04,"[28, 9648, 53, 27]",5.863
My Fault,2023-06-08,240.864,"[18, 10749]",8.027
Dune,2021-09-15,302.488,"[878, 12]",7.786
